system,percent,flush,cc
gz,10,0,1.74709
gz,20,0,1.38475
gz,30,0,1.38769
gz,40,0,1.41454
gz,50,0,1.41599
gz,60,0,1.40582
gz,70,0,1.39076
gz,80,0,1.38444
gz,90,0,1.40668
gz,100,0,1.3887
ter,10,0,0.723748
ter,20,0,1.32206
ter,30,0,2.00126
ter,40,0,2.54583
ter,50,0,3.0512
ter,60,0,2.59427
ter,70,0,2.985 
ter,80,0,3.34039
asp,10,0,0.294496
asp,20,0,0.518603
asp,30,0,0.735033
asp,40,0,0.929199
asp,50,0,1.13409
asp,60,0,1.35275
asp,70,0,1.53211
asp,80,0,1.79285
asp,90,0,1.94658
asp,100,0,2.12543


